,date,id,content,username
54,2023-02-12 22:22:25,1624896736924774400,"IT'S #SBLVII GAMEDAY!!! Can you predict the winner?🏈

Kansas City Chiefs (2.05)🆚Philadelphia Eagles (1.80)

How to bet on NFL
👉https://t.co/ZqSjCm6s9V 

@Eagles @Chiefs @NFL #NFLPlayoffs #NFL #SuperBowlLVII  #KCvsPHI #ChiefsKingdom #ItsAPhillyThing #FlyEaglesFly https://t.co/uBC1Dqpyv7",Pixelcasino_
55,2023-02-12 22:21:44,1624896562424938497,"IT'S #SBLVII GAMEDAY!!! Can you predict the winner?🏈

Kansas City Chiefs (2.05)🆚Philadelphia Eagles (1.80)

How to bet on NFL
👉https://t.co/ZqSjCm6s9V 

@Eagles @Chiefs @NFL #NFLPlayoffs #NFL #SuperBowlLVII  #KCvsPHI #ChiefsKingdom #ItsAPhillyThing #FlyEaglesFly https://t.co/l9uwNjXBb2",Pixelcasino_
56,2023-02-12 22:13:01,1624894369076596737,"🏈Competition Time🏈

🎉Win 90 days FREE tuition (£237 value)🎉

📈Predict the Superbowl Final Score📈

Philadelphia Eagles vs Kansas City Braves

The winner is whoever guesses the closest total score.👏🏻

Everyone who enters wins something 🤯

Comment below with your answer 👇🏻👇🏻 https://t.co/i9p0HWr3oN",CobraLifeFMA
57,2023-02-12 21:53:00,1624889330807316481,"@officialcatcoin Winner Philadelphia Eagles 🏈🥇

#SuperBowl  #BUSD #giveaway https://t.co/90olmh8e09",Johan_v08
58,2023-02-12 21:48:56,1624888311142617090,"Superbowl LVII, but Madden decides the winner. Come watch me react to a Philadelphia Eagles vs Kansas City Chiefs simulation.

Will it predict tonight's winner?
https://t.co/1Yzd2bIrJF https://t.co/OIs7KfR4OK",DimTheLightsTTV
59,2023-02-12 21:48:11,1624888118213058560,"Here's my SB bets (cont)

First Touchdown Scorer / Game Winner Parlay

Jalen Hurts / Philadelphia Eagles (+1000)
Travis Kelce / Kansas City Chiefs (+1000)

Again, tail all these at your own risk.
Enjoy the game!

/end",BarryOnDeck
60,2023-02-12 21:19:20,1624880861878398976,"Congratulations to Super Bowl LVII winner, The Philadelphia @Eagles !

🦅🏆🏈",cobracommandr15
61,2023-02-12 20:58:35,1624875636329263110,"Will the Kansas City Chiefs come out on top or will the Philadelphia Eagles prevail?

Get single bets paid out if the team you back goes 17 points ahead.

For multiple bets and Bet Builder bets, the selection will be marked as a winner.

Available to new and eligible customers.",bet365
62,2023-02-12 20:56:09,1624875025172930560,"Friendos! Even those who don’t watch sports, who wins the Super Bowl today, The Kansas City Chiefs or the Philadelphia Eagles? If the poll correctly picks the winner, next stream will be Chibi Tony only!",HydroxideAnt
63,2023-02-12 20:42:26,1624871574955327488,"Need a winner here my friend @seeley_nigel 

KC CHIEFS or Philadelphia Eagles",JoeDaFan
64,2023-02-12 19:44:36,1624857020221325313,"2015 Mr. PA Football Winners Miles Sanders (Philadelphia Eagles Super Bowl RB) Michael Shuster and the Finalists @BoobieMilesXXIV @M_ShusterODU  @HamlinIsland @Goony_38 @KobayWhite @Condor_McGovern @Mike_Menet62
@evan_chadbourn https://t.co/t4w6vMQnIa",mrpafootball
65,2023-02-12 19:00:16,1624845861514608645,"It’s Super Bowl Sunday and while the Kansas City Chiefs face off against the Philadelphia Eagles, we’re putting our two services head-to-head. Level Case Financing and Level Insurance. BOTH are winners to us! https://t.co/FCSk34n4jt",levelesq
66,2023-02-12 18:37:55,1624840236567236608,"A wolf, orangutan and giraffe predict the Super Bowl winner 🏆

Will it be Philadelphia Eagles or Kansas City Chiefs?

#SB57 @Eagles @Chiefs https://t.co/UHkbCzo8Cg",CGTNEurope
67,2023-02-12 18:31:36,1624838647794073600,"I predict the Super Bowl winner will be the Philadelphia Eagles 🏈 🦅 

I have $2,500 riding on the ML tonight.

Best of luck #gamblingtwitter",MidasTouchSpor1
68,2023-02-12 18:08:01,1624832712887369730,"Super Bowl weekend! Check out this ex Philadelphia Eagles player and winner of the Super Bowl in 2017's house, that is automated by Loxone. Click here: https://t.co/JozyRmZoV1 

#Loxone #buildingautomation #homeautomation #superbowl #philadelphiaeagles 

*Photos by Alcove Media https://t.co/tKGp1TduwF",LoxoneUK
69,2023-02-12 17:51:04,1624828448970506240,"Superbowl Giveaway:  Pick the winner of the Superbowl [KC Chiefs or Philadelphia Eagles] and how many points they win by [1 to ?] and win prize shown.

Must enter by 530pm central, if more than one winner, the Wheel of Name will choose!

Put guesses below to enter, go team! https://t.co/3CtZbV5wyT",Kwentzhunter
70,2023-02-12 17:30:00,1624823146380693504,"The conclusion of the 2022 NFL regular season is hours away with Super Bowl 57 crowning a champion between the Kansas City Chiefs and Philadelphia Eagles.

@usatodaysports writers and columnists predict the winner:
https://t.co/RhnQjIjCHO",USATODAY
71,2023-02-12 17:27:48,1624822590706524165,"@KariLakeWarRoom @KariLake Two winners in Arizona. 
The Philadelphia Eagles
Katie Hobbs",ReillyOToole1
72,2023-02-12 17:24:09,1624821673974456320,"Super Bowl 2023: February 12, 2023 - Pick your winner between Philadelphia Eagles or Kansas City.

#NFL #SuperBowl #PhiladelphiaEagles #KansasCity",TheMediaFunnels
73,2023-02-12 17:00:00,1624815597237460992,"There’s more than one ‘super’ bowl in town...
Don’t fumble your feeding times. Feel like a winner with the MiBowl® Automatic Microchip Pet Feeder 🐱🐶
Will you be supporting the Philadelphia Eagles or the Kansas City Chiefs? 🏈

🛍: https://t.co/SDEWJHMWVS https://t.co/PmUZapN7d7",WeAreCloserPets
74,2023-02-12 16:26:14,1624807100823093248,Super Bowl 2023 Super Bowl 2023 | USA TODAY Sports writers and columnists predict the winner of Super Bowl 57 between the Kansas City Chiefs and Philadelphia Eagles. #Super #Bowl #2023 #SuperBowl2023  | Read More  https://t.co/jx7rOoPLRh,YahBuzz_com
75,2023-02-12 15:55:58,1624799480049717248,"@MEXC_NA #PhiladelphiaEagles 27 
#KansasCityChiefs 24

Philadelphia Eagles will be Winner. 

#SuperBowl #MEXC #Merch",farhanayasmin0
76,2023-02-12 15:16:27,1624789539050119168,"Winner: Philadelphia Eagles 
Score: EAGLES 38-Chiefs: 24 
SB MVP: Jalen Hurts",gabe_c42
77,2023-02-12 15:00:00,1624785398915534849,"🟢THE LAST EVOLUTION🔴
https://t.co/CQpqhwstmF
Two AFC and NFC winners. Mahomes vs. Hurts. Yes, it is The Philadelphia Eagles vs. Kansas City Chiefs match in Super Bowl LVII!

 🦅@Eagles vs. @Chiefs🐺
           [1.84]             [2.10]

#sports #Americanfootball #SuperBowl #NFL https://t.co/bAPA2Vkywy",BetFury_Sport
78,2023-02-12 13:37:49,1624764714915082243,"My prediction of winner is Philadelphia Eagles....
#SuperBowl                   
#KuCoin 
#DeXeNetwork",MDRipon329
79,2023-02-12 13:35:19,1624764086637535236,Seen a lot of astrologers say that Kansas City will win the Super Bowl over the Philadelphia Eagles tonight. If Patrick Mahomes is healthy he should do well and if Jalen Hurts is focussed he should do well. I have my bet in for the winner so we shall see… #SuperBowl,metacosmios
80,2023-02-12 13:21:37,1624760640328941573,"Super Bowl 2023 Super Bowl 2023 | With the Philadelphia Eagles and Kansas City Chiefs set to face off, the odds for the winner and MVP are set, with various prop bets available including the ... #Super #Bowl #2023 #SuperBowl2023  | Read More  https://t.co/ImQ0hzowqH",YahBuzz_com
81,2023-02-12 12:59:53,1624755171342577665,"And the winner will be ... Fact or Fiction? 
We'll know soon.

#NFL #SuperBowl #Philadelphia #Eagles #KansasCityChiefs #sportsbettingtwitter #SportyBet #Bet https://t.co/uJUZ82QVcJ",FZ_mkt
82,2023-02-12 12:33:37,1624748560318345218,"@7Sport @BlueBetAu Definitely.

If you look at SuperBowl Wins in the last 5 years the records show.

Philadelphia Eagles &amp; Kansas City Chiefs - 1 win each.

Other winners include Tampa Bay Buccaneers, New England Patriots &amp; Los Angeles Rams - 1 win each.

It's obvious which team needs a win more.",jkmccrann
83,2023-02-12 11:01:37,1624725405826424832,"NFL Super Bowl LVII - Mattel Little People Philadelphia Eagles v Kansas City Chiefs And The Winner Is - They're All Champions
https://t.co/CQeNxmmnoG https://t.co/G1SPMC7X8G",SatchelBlog
84,2023-02-12 09:31:56,1624702835878162434,"🏈 Super Bowl Giveaway 🏈

If the Philadelphia Eagles win tonight, we’ll pick a winner for a NFL mystery box 🎁👕

How to enter:
👉Follow us
🔗Retweet
❤️Like this post

#SuperBowl #nfl #PhiladelphiaEagles #free #Competition https://t.co/rZ5LIDOuIW",MysteryJKing
85,2023-02-12 06:00:48,1624649701839478785,"Later this evening, it's Jalen Hurts and the Philadelphia Eagles vs Patrick Mahomes and the Kansas City Chiefs! The winner of this game...will be crowned the SuperBowl Champs! WIN Eagles WIN!! #NFL #EaglesvsChiefs #FOX #FlyEaglesFly #Playoffs #NFLTournament #SuperBowl https://t.co/69Dl0sDN9I",JustinMixon2
86,2023-02-12 03:06:09,1624605751846252544,"@kucoincom @DexeNetwork My prediction of winner is Philadelphia Eagles....
#SuperBowl                
#KuCoin 
#DeXeNetwork",Kavi9191
87,2023-02-12 03:05:56,1624605695298658304,"My prediction of winner is Philadelphia Eagles....
#SuperBowl             
#KuCoin 
#DeXeNetwork",Kavi9191
88,2023-02-12 23:54:03,1624919796633550851,"KC @ PHI: Touchdowns
Winner!! (Philadelphia Eagles) Jalen Hurts Over 0.5 (-130)",NFL_Covers
89,2023-02-12 23:42:19,1624916843327619077,"Coin toss time- Kansas City Chiefs tails, Philadelphia Eagles heads. The coin toss winner- Kansas City. LET'S GO!!! #SuperBowl #KansasCityChiefs #PhiladelphiaEagles",Junocomm
90,2023-02-12 23:39:17,1624916078211002368,"Congratulations to the Philadelphia Eagles for winning Super Bowl 57 by losing the coin toss, let's make it 9 years in a row that the coin toss winner loses the game https://t.co/bpzzZmj6gH",WhattaHoser
91,2023-02-12 23:13:56,1624909698813108224,You know that the Philadelphia Eagles fans are in the house when the Walter Payton Man of the Year award winner gets booed… 🤣 Poor #DakPrescott https://t.co/j69BKpbYE2,ron_wen
92,2023-02-12 23:10:35,1624908855598624770,They're booing NFL Man of the Year award winner Dak Prescott just in case you were wondering if there were Philadelphia Eagles fans in attendance. #SuperBowl,nascarcasm
93,2023-02-12 22:45:02,1624902428377374721,"I’m hoping for a very close and competitive Super Bowl LVII. For overall score and winner, I’m going:

Kansas City Chiefs 27
Philadelphia Eagles 20

#SuperBowl https://t.co/qufHCObGSl",_thefailedjedi
94,2023-02-12 22:40:54,1624901386616950786,My NFL Super Bowl LVII winner prediction is Philadelphia Eagles 28 Kansas City Chiefs 21. #SuperBowl,DavidCigam
95,2023-02-12 22:36:29,1624900275013124096,@leannrimes Leanne I think the Philadelphia Eagles will win much love for Rihanna don't get me wrong but laying around is always a winner,Kddavid1209
96,2023-02-12 22:22:47,1624896826645049344,The #SuperBowl is here! 🏈 Will the Philadelphia Eagles or the Kansas City Chiefs come out on top? Who's your pick for the winner? Share your predictions with us using #FlyEaglesFly or #ChiefsKingdom! #inspireone #i1one #inspireonegroup #sby #delmarva #easternshoremd https://t.co/O2185N7410,I1Mag
97,2023-02-12 22:22:42,1624896807384887297,"IT'S #SBLVII GAMEDAY!!! Can you predict the winner?🏈

Kansas City Chiefs (2.05)🆚Philadelphia Eagles (1.80)

How to bet on NFL
👉https://t.co/ZqSjCm6s9V 

@Eagles @Chiefs @NFL #NFLPlayoffs #NFL #SuperBowlLVII  #KCvsPHI #ChiefsKingdom #ItsAPhillyThing #FlyEaglesFly https://t.co/hyaqM2fvLY",Pixelcasino_
